player,season,team,league,pos_,age_,Playing Time_Min,primary_role,secondary_role,primary_role_similarity,secondary_role_similarity,role_confidence,role_ambiguity,primary_role_cluster,secondary_role_cluster,role_similar_player_1,role_similar_player_2,role_similar_player_3,role_similar_player_4,role_similar_player_5
Morgan Gibbs-White,2223,Nott'ham Forest,ENG-Premier League,"MF,FW",22.0,2971,Ball Progressor,Creative Playmaker,34.2,27.8,6.4,93.6,1,2,Óscar Rodríguez Arnaiz | Leganés | 1819 | 88.0,Nikola Vlašić | Torino | 2223 | 87.4,Lee Kang-in | Mallorca | 2223 | 87.3,Aimar Oroz | Osasuna | 2425 | 86.5,Andreas Pereira | Fulham | 2223 | 86.1
Orel Mangala,2223,Nott'ham Forest,ENG-Premier League,MF,24.0,1550,Defensive Anchor,Ball Progressor,39.8,24.4,15.4,84.6,0,1,Baissama Sankoh | Caen | 1718 | 91.1,John Donald | Elche | 2223 | 90.0,Yan Brice Eteki | Granada | 1920 | 89.8,Jens Cajuste | Ipswich Town | 2425 | 89.5,Fede San Emeterio | Cádiz | 2223 | 89.0
Remo Freuler,2223,Nott'ham Forest,ENG-Premier League,MF,30.0,2161,Defensive Anchor,Ball Progressor,41.4,23.2,18.2,81.8,0,1,Adam Bodzek | Düsseldorf | 1920 | 95.4,Manu García | Alavés | 1920 | 92.8,Alberto Grassi | Empoli | 2425 | 91.5,Yvan Neyou | Leganés | 2425 | 90.9,Jean-Eudes Aholou | Angers | 2425 | 90.4
Ryan Yates,2223,Nott'ham Forest,ENG-Premier League,MF,24.0,1837,Defensive Anchor,Ball Progressor,36.1,26.8,9.3,90.7,0,1,Iddrisu Baba | Mallorca | 2223 | 91.0,Fede San Emeterio | Cádiz | 2223 | 90.1,Alessandro Deiola | Cagliari | 2324 | 87.9,Leander Dendoncker | Wolves | 2122 | 87.7,Orel Mangala | Nott'ham Forest | 2223 | 87.5
Carlos Alcaraz,2223,Southampton,ENG-Premier League,"MF,FW",19.0,1029,Ball Progressor,Defensive Anchor,33.6,24.4,9.2,90.8,1,0,Nicolò Fagioli | Juventus | 2223 | 82.0,Fisayo Dele-Bashiru | Lazio | 2425 | 81.8,Tommaso Pobega | Spezia | 2021 | 81.7,Peque | Sevilla | 2425 | 81.7,Niccolò Pisilli | Roma | 2425 | 80.5
James Ward-Prowse,2223,Southampton,ENG-Premier League,MF,27.0,3371,Box-to-Box Engine,Ball Progressor,27.4,27.2,0.2,99.8,3,1,José Luis García Vayá | Valencia | 2324 | 85.1,Ashley Westwood | Burnley | 1920 | 79.9,Fayçal Fajr | Caen | 1819 | 78.3,Maximilian Arnold | Wolfsburg | 2223 | 77.9,Luka Milivojević | Crystal Palace | 1819 | 77.7
Joe Aribo,2223,Southampton,ENG-Premier League,"MF,FW",26.0,1224,Ball Progressor,Defensive Anchor,34.8,28.6,6.2,93.8,1,0,Federico Palacios Martínez | Nürnberg | 1819 | 86.6,Pere Pons | Alavés | 2021 | 86.4,Amath | Mallorca | 2223 | 86.2,Alex Sola | Getafe | 2425 | 82.0,Grady Diangana | West Brom | 2021 | 81.8
Mohamed Elyounoussi,2223,Southampton,ENG-Premier League,"MF,FW",27.0,2168,Ball Progressor,Defensive Anchor,32.8,29.8,3.0,97.0,1,0,Junior Hoilett | Cardiff City | 1819 | 77.7,Rubén Sobrino | Cádiz | 2223 | 76.7,Mehdi Léris | Sampdoria | 2223 | 75.6,Yannick Gerhardt | Wolfsburg | 2021 | 75.6,Óscar Plano | Valladolid | 1920 | 75.5
Oriol Romeu,2223,Southampton,ENG-Premier League,MF,30.0,2950,Box-to-Box Engine,Defensive Anchor,27.8,26.8,1.0,99.0,3,0,Panagiotis Tachtsidis | Lecce | 1920 | 68.3,,,Jonjo Shelvey | Newcastle Utd | 1718 | 64.4,
Roméo Lavia,2223,Southampton,ENG-Premier League,MF,18.0,2221,Defensive Anchor,Box-to-Box Engine,40.7,24.0,16.7,83.3,0,3,Santiago Ascacíbar | Stuttgart | 1819 | 91.0,Conor Gallagher | West Brom | 2021 | 88.7,Alexis Blin | Amiens | 1819 | 87.9,Santi Comesaña | Rayo Vallecano | 1819 | 87.2,Denis Zakaria | Gladbach | 1718 | 87.0
Stuart Armstrong,2223,Southampton,ENG-Premier League,"MF,FW",30.0,1408,Ball Progressor,Creative Playmaker,29.4,28.0,1.4,98.6,1,2,Jasmin Kurtić | SPAL | 1920 | 81.5,Marcos Llorente | Atlético Madrid | 2223 | 81.3,Iván Sánchez | Valladolid | 2425 | 80.0,Leonardo Bittencourt | Werder Bremen | 2324 | 77.7,Philipp Förster | Stuttgart | 2122 | 71.8
Bryan Gil,2223,Tottenham,ENG-Premier League,"MF,FW",21.0,918,Ball Progressor,Creative Playmaker,29.3,26.9,2.4,97.6,1,2,Eren Dinkçi | Freiburg | 2425 | 82.1,Joe Willock | Newcastle Utd | 2425 | 81.1,Facundo Pellistri | Granada | 2324 | 79.5,Valentino Lazaro | Hertha BSC | 1718 | 78.4,Erik Thommy | Stuttgart | 1718 | 77.4
Dejan Kulusevski,2223,Tottenham,ENG-Premier League,"MF,FW",22.0,2067,Creative Playmaker,Ball Progressor,34.9,27.7,7.2,92.8,2,1,Bryan Gil | Eibar | 2021 | 92.4,Brajan Gruda | Mainz 05 | 2324 | 89.5,Jeremy Doku | Rennes | 2021 | 89.4,Álex Berenguer | Torino | 1819 | 88.3,Rayan Cherki | Lyon | 2223 | 87.4
Oliver Skipp,2223,Tottenham,ENG-Premier League,MF,21.0,1491,Defensive Anchor,Ball Progressor,37.1,24.6,12.5,87.5,0,1,Fran Beltrán | Celta Vigo | 2021 | 92.8,Rémi Walter | Troyes | 1718 | 90.7,Reda Belahyane | Hellas Verona | 2425 | 87.9,Ángel Algobia | Getafe | 2223 | 87.0,Ibrahima Diallo | Brest | 2021 | 86.5
Pierre Højbjerg,2223,Tottenham,ENG-Premier League,MF,26.0,3131,Box-to-Box Engine,Defensive Anchor,34.7,27.0,7.7,92.3,3,0,Federico Valverde | Real Madrid | 2425 | 85.7,Mikel Merino | Real Sociedad | 1920 | 84.0,Andre-Frank Zambo Anguissa | Napoli | 2223 | 81.1,Youri Tielemans | Leicester City | 2021 | 80.9,Marten de Roon | Atalanta | 1920 | 80.6
Richarlison,2223,Tottenham,ENG-Premier League,"MF,FW",25.0,1010,Ball Progressor,Creative Playmaker,36.3,25.2,11.1,88.9,1,2,Shavy Babicka | Toulouse | 2425 | 88.7,Facundo Pellistri | Granada | 2324 | 86.0,Gonçalo Guedes | Wolves | 2425 | 85.5,Rafael Borré | Eint Frankfurt | 2223 | 85.4,Dango Ouattara | Bournemouth | 2223 | 84.5
Rodrigo Bentancur,2223,Tottenham,ENG-Premier League,MF,25.0,1500,Defensive Anchor,Box-to-Box Engine,31.9,28.4,3.5,96.5,0,3,Suat Serdar | Schalke 04 | 1920 | 78.5,Jean Onana | Bordeaux | 2122 | 72.9,Nabil Bentaleb | Schalke 04 | 1718 | 72.9,Scott McTominay | Manchester Utd | 1920 | 72.8,Ellyes Skhiri | Köln | 2122 | 72.8
Son Heung-min,2223,Tottenham,ENG-Premier League,"MF,FW",30.0,2888,Ball Progressor,Creative Playmaker,32.3,30.1,2.2,97.8,1,2,José Luis Morales | Levante | 2021 | 90.1,Ismaila Sarr | Crystal Palace | 2425 | 89.4,Portu | Girona | 1718 | 88.5,Andreas Pereira | Fulham | 2223 | 87.5,Rony Lopes | Troyes | 2223 | 86.9
Yves Bissouma,2223,Tottenham,ENG-Premier League,MF,25.0,1010,Defensive Anchor,Box-to-Box Engine,32.4,29.8,2.6,97.4,0,3,Marco Fossati | Hellas Verona | 1718 | 83.7,Nampalys Mendy | Nice | 1718 | 83.6,Ander Guevara | Real Sociedad | 1920 | 82.0,Pape Cheikh Diop | Dijon | 2021 | 81.5,Arthur Melo | Juventus | 2122 | 81.2
Declan Rice,2223,West Ham,ENG-Premier League,MF,23.0,3273,Box-to-Box Engine,Defensive Anchor,34.0,28.5,5.5,94.5,3,0,Youssouf Fofana | Monaco | 2223 | 90.5,Abdoulaye Doucouré | Watford | 1718 | 88.0,Pierre Højbjerg | Southampton | 1819 | 86.3,Mikel Merino | Real Sociedad | 1920 | 85.7,Andre-Frank Zambo Anguissa | Fulham | 2021 | 84.5
Lucas Paquetá,2223,West Ham,ENG-Premier League,MF,24.0,2151,Box-to-Box Engine,Ball Progressor,29.5,26.3,3.2,96.8,3,1,,Youri Tielemans | Leicester City | 2122 | 84.1,Alexis Mac Allister | Liverpool | 2425 | 78.7,,
Tomáš Souček,2223,West Ham,ENG-Premier League,MF,27.0,2815,Defensive Anchor,Ball Progressor,33.7,26.9,6.8,93.2,0,1,Damien Le Tallec | Montpellier | 1819 | 92.4,Prince Oniangué | Caen | 1819 | 88.8,Frank Onyeka | Augsburg | 2425 | 88.0,Lucas Tousart | Hertha BSC | 2223 | 87.2,Jan Schöppner | Heidenheim | 2425 | 87.2
João Moutinho,2223,Wolves,ENG-Premier League,MF,35.0,1780,Box-to-Box Engine,Defensive Anchor,30.0,26.0,4.0,96.0,3,0,Michele Castagnetti | Cremonese | 2223 | 85.4,Florent Balmont | Dijon | 1819 | 77.7,Thomas Mangani | Ajaccio | 2223 | 75.8,Kevin Strootman | Genoa | 2324 | 74.9,Adam Lallana | Brighton | 2021 | 73.7
Mario Lemina,2223,Wolves,ENG-Premier League,MF,28.0,1299,Defensive Anchor,Box-to-Box Engine,39.1,23.7,15.4,84.6,0,3,,Stanko Jurić | Valladolid | 2425 | 92.9,,Rodrigo Battaglia | Mallorca | 2122 | 89.9,
Matheus Nunes,2223,Wolves,ENG-Premier League,MF,23.0,2467,Ball Progressor,Defensive Anchor,34.1,27.0,7.1,92.9,1,0,Amath | Getafe | 1718 | 83.4,Mehdi Léris | Sampdoria | 2223 | 77.7,Marc Cucurella | Getafe | 2021 | 75.6,Gianluca Busio | Venezia | 2425 | 75.4,Aimar Oroz | Osasuna | 2324 | 75.1
Rúben Neves,2223,Wolves,ENG-Premier League,MF,25.0,3019,Defensive Anchor,Box-to-Box Engine,32.6,31.0,1.6,98.4,0,3,Wataru Endo | Stuttgart | 2021 | 88.4,Saúl Ñíguez | Atlético Madrid | 1920 | 86.7,Luka Milivojević | Crystal Palace | 1718 | 85.7,Rubén Alcaraz | Valladolid | 1819 | 85.5,Casemiro | Real Madrid | 1920 | 85.2
Declan Rice,2324,Arsenal,ENG-Premier League,MF,24.0,3225,Box-to-Box Engine,Ball Progressor,36.2,22.7,13.5,86.5,3,1,Éderson | Atalanta | 2425 | 83.3,Federico Valverde | Real Madrid | 2425 | 82.9,Bruno Guimarães | Newcastle Utd | 2324 | 80.5,Denis Suárez | Celta Vigo | 2122 | 79.3,Mattéo Guendouzi | Lazio | 2425 | 78.8
Jorginho,2324,Arsenal,ENG-Premier League,MF,31.0,921,Box-to-Box Engine,Defensive Anchor,31.4,23.9,7.5,92.5,3,0,Ander Herrera | Athletic Club | 2324 | 80.0,Florian Tardieu | Saint-Étienne | 2425 | 79.8,Harry Winks | Tottenham | 2122 | 79.1,Nuri Şahin | Dortmund | 1718 | 78.1,James Milner | Liverpool | 2021 | 73.7
Kai Havertz,2324,Arsenal,ENG-Premier League,"MF,FW",24.0,2634,Creative Playmaker,Ball Progressor,30.2,29.2,1.0,99.0,2,1,Mario Pašalić | Atalanta | 2122 | 88.5,Marco Reus | Dortmund | 1819 | 86.7,Justin Kluivert | Bournemouth | 2425 | 86.0,James Maddison | Leicester City | 2122 | 85.1,Daichi Kamada | Eint Frankfurt | 2223 | 83.6
Martin Ødegaard,2324,Arsenal,ENG-Premier League,MF,24.0,3091,Creative Playmaker,Box-to-Box Engine,37.5,22.6,14.9,85.1,2,3,Christian Eriksen | Tottenham | 1819 | 94.6,Bruno Fernandes | Manchester Utd | 2223 | 94.4,Iker Muniain | Athletic Club | 2122 | 93.4,Benjamin Bourigeaud | Rennes | 2223 | 92.6,Alex Baena | Villarreal | 2425 | 92.4
Boubacar Kamara,2324,Aston Villa,ENG-Premier League,MF,23.0,1652,Defensive Anchor,Box-to-Box Engine,36.6,26.7,9.9,90.1,0,3,Máximo Perrone | Como | 2425 | 82.6,Ilia Gruev | Werder Bremen | 2223 | 80.8,Balthazar Pierret | Lecce | 2425 | 80.1,Edson Álvarez | West Ham | 2425 | 80.1,Ibrahima Diallo | Southampton | 2021 | 79.6
Cameron Archer,2324,Aston Villa,ENG-Premier League,MF,22.0,1832,Defensive Anchor,Box-to-Box Engine,26.5,25.8,0.7,99.3,0,3,Rubén Sobrino | Valencia | 2021 | 76.4,Jean-Victor Makengo | Lorient | 2223 | 73.1,Alessandro Bianco | Fiorentina | 2425 | 71.3,Moussa Sissoko | Tottenham | 1920 | 70.3,Jean-Ricner Bellegarde | Strasbourg | 2122 | 67.5
Douglas Luiz,2324,Aston Villa,ENG-Premier League,MF,25.0,2993,Box-to-Box Engine,Ball Progressor,29.7,26.4,3.3,96.7,3,1,Alexis Mac Allister | Brighton | 2223 | 84.3,Éderson | Atalanta | 2425 | 80.7,Hakan Çalhanoğlu | Inter | 2324 | 80.3,Declan Rice | Arsenal | 2425 | 80.1,José Luis García Vayá | Valencia | 2324 | 79.4
John McGinn,2324,Aston Villa,ENG-Premier League,"MF,FW",28.0,2999,Ball Progressor,Box-to-Box Engine,32.7,24.1,8.6,91.4,1,3,Roberto Soriano | Bologna | 2021 | 87.5,Gustavo Hamer | Sheffield Utd | 2324 | 78.2,Granit Xhaka | Arsenal | 2223 | 74.2,Alex Iwobi | Everton | 2223 | 74.1,John Fleck | Sheffield Utd | 1920 | 73.0
Leon Bailey,2324,Aston Villa,ENG-Premier League,"MF,FW",25.0,2068,Creative Playmaker,Ball Progressor,39.1,24.6,14.5,85.5,2,1,Viktor Tsyhankov | Girona | 2324 | 93.6,Ademola Lookman | Atalanta | 2425 | 93.6,Franck Honorat | Brest | 2021 | 92.2,Charles De Ketelaere | Atalanta | 2425 | 90.6,Pablo Sarabia | Sevilla | 1819 | 90.5
Youri Tielemans,2324,Aston Villa,ENG-Premier League,"MF,FW",26.0,1622,Box-to-Box Engine,Ball Progressor,29.3,25.4,3.9,96.1,3,1,Sebastian Rudy | Bayern Munich | 1718 | 60.9,Alfred Duncan | Fiorentina | 2324 | 60.8,Jorginho | Arsenal | 2324 | 59.9,Tom Cairney | Fulham | 2324 | 59.9,Charles Aránguiz | Leverkusen | 1819 | 59.8
Alex Scott,2324,Bournemouth,ENG-Premier League,MF,19.0,1014,Ball Progressor,Box-to-Box Engine,30.6,26.6,4.0,96.0,1,3,Faustino Anjorin | Empoli | 2425 | 82.9,Arthur Atta | Metz | 2324 | 78.3,Fabio Miretti | Juventus | 2324 | 77.5,Mickaël Cuisance | Gladbach | 1718 | 75.0,Ivan Ilić | Hellas Verona | 2223 | 74.6
Justin Kluivert,2324,Bournemouth,ENG-Premier League,"MF,FW",24.0,1916,Ball Progressor,Creative Playmaker,35.4,24.6,10.8,89.2,1,2,Roland Sallai | Freiburg | 2021 | 92.1,Hamed Junior Traorè | Auxerre | 2425 | 91.6,Alexis Claude-Maurice | Augsburg | 2425 | 88.0,Zakaria Aboukhlal | Toulouse | 2425 | 87.8,Jérémy Le Douaron | Brest | 2223 | 87.0
Lewis Cook,2324,Bournemouth,ENG-Premier League,MF,26.0,2786,Defensive Anchor,Box-to-Box Engine,36.0,27.4,8.6,91.4,0,3,Josh Brownhill | Burnley | 2122 | 88.7,Morten Hjulmand | Lecce | 2223 | 87.9,Dani García | Eibar | 1718 | 87.3,Jerdy Schouten | Bologna | 2021 | 86.2,Robert Andrich | Union Berlin | 1920 | 86.0
Philip Billing,2324,Bournemouth,ENG-Premier League,MF,27.0,1398,Ball Progressor,Defensive Anchor,31.0,25.9,5.1,94.9,1,0,Jérôme Gondorf | Freiburg | 1819 | 80.3,Fredrik Jensen | Augsburg | 2324 | 74.9,Miloš Jojić | Köln | 1718 | 74.7,Christoph Baumgartner | RB Leipzig | 2425 | 74.0,Munir El Haddadi | Getafe | 2223 | 71.3
Romain Faivre,2324,Bournemouth,ENG-Premier League,"MF,FW",25.0,1453,Creative Playmaker,Ball Progressor,27.3,26.2,1.1,98.9,2,1,Azzedine Ounahi | Angers | 2223 | 69.6,,,Julien Ponceau | Lorient | 2324 | 68.6,
Ryan Christie,2324,Bournemouth,ENG-Premier League,MF,28.0,2907,Box-to-Box Engine,Defensive Anchor,30.5,25.8,4.7,95.3,3,0,João Moutinho | Wolves | 1819 | 83.6,John McGinn | Aston Villa | 2122 | 75.5,Renaud Cohade | Metz | 1718 | 74.3,Álex Granell | Girona | 1819 | 72.8,Thiago Mendes | Lille | 1819 | 72.4
Christian Nørgaard,2324,Brentford,ENG-Premier League,MF,29.0,2505,Defensive Anchor,Box-to-Box Engine,34.4,28.8,5.6,94.4,0,3,Jonas Hector | Köln | 1920 | 88.9,Jonathan Hogg | Huddersfield | 1718 | 88.4,Idrissa Gana Gueye | Everton | 1718 | 87.6,Dominik Kohr | Mainz 05 | 2223 | 85.9,Étienne Capoue | Watford | 1819 | 85.9
Frank Onyeka,2324,Brentford,ENG-Premier League,MF,25.0,1161,Defensive Anchor,Ball Progressor,30.5,29.6,0.9,99.1,0,1,Rassoul Ndiaye | Le Havre | 2425 | 80.0,Esteban Rolón | Genoa | 1819 | 76.5,Ivan Šunjić | Hertha BSC | 2223 | 76.1,Leandro Barreiro Martins | Mainz 05 | 2122 | 74.1,Yassin Belkhdim | Angers | 2425 | 73.2
Mathias Jensen,2324,Brentford,ENG-Premier League,MF,27.0,2204,Ball Progressor,Box-to-Box Engine,28.5,26.5,2.0,98.0,1,3,Matúš Bero | Bochum | 2425 | 73.3,Sebastian Rudy | Hoffenheim | 2021 | 72.6,Jean-Paul Boëtius | Mainz 05 | 2021 | 67.2,Jon Moncayola | Osasuna | 2425 | 66.8,Alex Iwobi | Everton | 2122 | 65.3
Vitaly Janelt,2324,Brentford,ENG-Premier League,"MF,DF",25.0,3054,Defensive Anchor,Ball Progressor,34.1,27.6,6.5,93.5,0,1,Ibrahima Sissoko | Bochum | 2425 | 86.6,Josh Brownhill | Burnley | 2122 | 85.2,Giulio Maggiore | Spezia | 2122 | 84.0,James Garner | Everton | 2324 | 83.9,Mauro Arambarri | Getafe | 2021 | 83.5
Billy Gilmour,2324,Brighton,ENG-Premier League,MF,22.0,2120,Box-to-Box Engine,Ball Progressor,32.3,23.7,8.6,91.4,3,1,Maxime Lopez | Marseille | 1819 | 80.7,Arthur Melo | Barcelona | 1819 | 72.3,Granit Xhaka | Arsenal | 2021 | 71.3,Adrian Bernabe | Parma | 2425 | 69.7,Enzo Fernández | Chelsea | 2223 | 69.1
Carlos Baleba,2324,Brighton,ENG-Premier League,MF,19.0,1325,Defensive Anchor,Box-to-Box Engine,36.4,25.6,10.8,89.2,0,3,Lesley Ugochukwu | Rennes | 2223 | 89.9,,Nicolò Rovella | Lazio | 2324 | 89.6,,
Pascal Groß,2324,Brighton,ENG-Premier League,"MF,DF",32.0,3114,Creative Playmaker,Box-to-Box Engine,33.1,26.3,6.8,93.2,2,3,Luis Alberto | Lazio | 2223 | 89.9,Bruno Fernandes | Manchester Utd | 2425 | 88.9,İlkay Gündoğan | Barcelona | 2324 | 88.0,Cesc Fàbregas | Chelsea | 1718 | 87.4,Rémy Cabella | Lille | 2223 | 87.1
Jacob Bruun Larsen,2324,Burnley,ENG-Premier League,"MF,FW",24.0,1249,Creative Playmaker,Ball Progressor,30.7,29.1,1.6,98.4,2,1,Raphinha | Rennes | 1920 | 85.8,Andrea Colpani | Monza | 2223 | 84.5,Alejandro Garnacho | Manchester Utd | 2425 | 84.5,Érik Lamela | Tottenham | 1819 | 81.4,Marco Reus | Dortmund | 1718 | 80.1
Josh Brownhill,2324,Burnley,ENG-Premier League,MF,27.0,2252,Defensive Anchor,Ball Progressor,34.8,26.3,8.5,91.5,0,1,Julian Weigl | Gladbach | 2324 | 79.4,Xavier Chavalerin | Troyes | 2223 | 78.1,Ibrahima Sissoko | Bochum | 2425 | 76.9,Damien Le Tallec | Montpellier | 1819 | 76.1,Rani Khedira | Union Berlin | 2425 | 75.8
Josh Cullen,2324,Burnley,ENG-Premier League,MF,27.0,2057,Box-to-Box Engine,Defensive Anchor,28.4,27.8,0.6,99.4,3,0,Jordan Ferri | Montpellier | 2425 | 69.9,Koke | Atlético Madrid | 2324 | 63.6,Johan Gastien | Clermont Foot | 2223 | 60.1,Jon Moncayola | Osasuna | 2223 | 59.8,Arthur Melo | Fiorentina | 2324 | 59.8
Jóhann Berg Guðmundsson,2324,Burnley,ENG-Premier League,"MF,FW",32.0,1192,Ball Progressor,Creative Playmaker,30.8,26.4,4.4,95.6,1,2,Mathias Autret | Auxerre | 2223 | 87.4,Florent Mollet | Nantes | 2223 | 82.9,Christian Eriksen | Manchester Utd | 2425 | 78.0,Alexander | Leganés | 1718 | 76.1,Tobias Kempe | Darmstadt 98 | 2324 | 75.5
Luca Koleosho,2324,Burnley,ENG-Premier League,"MF,FW",18.0,974,Ball Progressor,Creative Playmaker,31.1,27.5,3.6,96.4,1,2,Demarai Gray | Leicester City | 1718 | 91.9,Jacob Murphy | Newcastle Utd | 1718 | 87.9,Valentin Carboni | Monza | 2324 | 86.5,Wilson Odobert | Troyes | 2223 | 86.3,Antonio Nusa | RB Leipzig | 2425 | 86.1
Sander Berge,2324,Burnley,ENG-Premier League,MF,25.0,3005,Defensive Anchor,Box-to-Box Engine,35.7,26.4,9.3,90.7,0,3,Martín Zubimendi | Real Sociedad | 2223 | 88.5,Ander Guevara | Alavés | 2324 | 84.8,Walace | Udinese | 2324 | 82.4,Lassana Coulibaly | Salernitana | 2223 | 82.2,Moisés Caicedo | Chelsea | 2425 | 82.0
Wilson Odobert,2324,Burnley,ENG-Premier League,"MF,FW",18.0,2098,Ball Progressor,Creative Playmaker,33.6,25.5,8.1,91.9,1,2,Habib Diarra | Strasbourg | 2223 | 87.2,Omari Hutchinson | Ipswich Town | 2425 | 87.1,Tommaso Baldanzi | Empoli | 2223 | 87.1,Ferrán Torres | Valencia | 1920 | 83.3,Antonio Nusa | RB Leipzig | 2425 | 82.4
Conor Gallagher,2324,Chelsea,ENG-Premier League,MF,23.0,3128,Box-to-Box Engine,Ball Progressor,33.9,25.3,8.6,91.4,3,1,Youri Tielemans | Leicester City | 2021 | 84.4,Valentin Rongier | Nantes | 1819 | 82.4,José Campaña | Levante | 1819 | 81.6,Douglas Luiz | Aston Villa | 2223 | 80.8,Maxence Caqueret | Lyon | 2223 | 80.0
Enzo Fernández,2324,Chelsea,ENG-Premier League,MF,22.0,2209,Box-to-Box Engine,Creative Playmaker,32.9,23.6,9.3,90.7,3,2,Vitinha | Paris S-G | 2425 | 75.2,Pedri | Barcelona | 2425 | 74.4,Angelo Stiller | Stuttgart | 2425 | 72.7,Jude Bellingham | Dortmund | 2223 | 72.6,Youssouf Fofana | Monaco | 2324 | 70.3
Moisés Caicedo,2324,Chelsea,ENG-Premier League,MF,21.0,2866,Defensive Anchor,Box-to-Box Engine,33.2,29.7,3.5,96.5,0,3,Manuel Locatelli | Juventus | 2223 | 84.9,Boubacar Kamara | Marseille | 2021 | 84.5,Saúl Ñíguez | Atlético Madrid | 1718 | 82.7,Mohamed Camara | Monaco | 2223 | 82.6,Enzo Barrenechea | Frosinone | 2324 | 81.5
Adam Wharton,2324,Crystal Palace,ENG-Premier League,MF,19.0,1297,Defensive Anchor,Box-to-Box Engine,30.8,27.1,3.7,96.3,0,3,Florian Grillitsch | Hoffenheim | 1718 | 82.3,Salih Özcan | Köln | 1718 | 81.8,Arne Maier | Hertha BSC | 1718 | 77.0,Oliver Arblaster | Sheffield Utd | 2324 | 76.6,Amadou Koné | Reims | 2425 | 75.3
Cheick Doucouré,2324,Crystal Palace,ENG-Premier League,MF,23.0,919,Defensive Anchor,Box-to-Box Engine,36.1,26.9,9.2,90.8,0,3,Thiago Maia | Lille | 1819 | 88.5,Soungoutou Magassa | Monaco | 2425 | 87.8,Florentino Luís | Getafe | 2122 | 86.1,Otávio | Bordeaux | 1718 | 86.0,Mickael Malsa | Levante | 2122 | 85.9
Eberechi Eze,2324,Crystal Palace,ENG-Premier League,"MF,FW",25.0,2055,Creative Playmaker,Ball Progressor,38.4,24.5,13.9,86.1,2,1,Lorenzo Pellegrini | Roma | 2122 | 91.6,Jonas Hofmann | Gladbach | 2122 | 90.0,Jamal Musiala | Bayern Munich | 2425 | 89.9,Vincenzo Grifo | Freiburg | 2223 | 89.8,Matheus Cunha | Wolves | 2425 | 89.8
Jefferson Lerma,2324,Crystal Palace,ENG-Premier League,"MF,DF",28.0,2400,Defensive Anchor,Box-to-Box Engine,38.8,23.9,14.9,85.1,0,3,Lucas Torró | Osasuna | 2223 | 86.9,Abdoulaye Doucouré | Everton | 2021 | 86.3,Vicente Iborra | Villarreal | 1920 | 85.6,Luka Milivojević | Crystal Palace | 2021 | 85.6,Soualiho Meïté | Cremonese | 2223 | 85.5
Will Hughes,2324,Crystal Palace,ENG-Premier League,MF,28.0,1891,Defensive Anchor,Box-to-Box Engine,37.7,24.0,13.7,86.3,0,3,Óscar Valentín | Rayo Vallecano | 2425 | 89.2,Suat Serdar | Hellas Verona | 2324 | 85.7,Maxime Gonalons | Granada | 1920 | 85.2,Harry Arter | Cardiff City | 1819 | 85.0,Mohamed Diamé | Newcastle Utd | 1819 | 84.5
Alex Iwobi,2324,Everton,ENG-Premier League,MF,27.0,2192,Creative Playmaker,Ball Progressor,29.8,27.1,2.7,97.3,2,1,Allan Saint-Maximin | Monaco | 1718 | 75.7,Naïm Sliti | Dijon | 1819 | 74.8,Jeremie Boga | Nice | 2425 | 73.5,Mathieu Dossevi | Toulouse | 1920 | 72.7,David Ferreiro | Huesca | 1819 | 69.8
Amadou Onana,2324,Everton,ENG-Premier League,MF,21.0,2091,Defensive Anchor,Box-to-Box Engine,35.7,25.5,10.2,89.8,0,3,Dion Lopy | Almería | 2324 | 89.6,Samu Costa | Mallorca | 2324 | 87.4,Reda Belahyane | Lazio | 2425 | 82.2,Junior Mwanga | Strasbourg | 2425 | 80.6,Eric Martel | Köln | 2223 | 80.0
Dwight McNeil,2324,Everton,ENG-Premier League,"MF,FW",23.0,2892,Ball Progressor,Creative Playmaker,29.9,28.1,1.8,98.2,1,2,Jakub Jankto | Udinese | 1718 | 81.7,Morgan Gibbs-White | Nott'ham Forest | 2223 | 80.5,Sergio Gómez | Real Sociedad | 2425 | 79.5,Gaël Kakuta | Amiens | 1718 | 77.9,Borja García | Girona | 1718 | 77.0
Idrissa Gana Gueye,2324,Everton,ENG-Premier League,MF,33.0,1884,Defensive Anchor,Box-to-Box Engine,34.3,26.1,8.2,91.8,0,3,Juraj Kucka | Watford | 2122 | 85.6,Paul Lasne | Montpellier | 1819 | 83.7,Maxime Gonalons | Clermont Foot | 2324 | 83.7,Lucas Deaux | Nîmes | 1920 | 82.5,Fabien Lemoine | Lorient | 2021 | 82.2
Jack Harrison,2324,Everton,ENG-Premier League,"MF,FW",26.0,2214,Ball Progressor,Creative Playmaker,41.1,21.0,20.1,79.9,1,2,Ruben Vargas | Augsburg | 2324 | 86.0,Diego López | Valencia | 2425 | 81.5,Portu | Girona | 1718 | 80.3,Jakub Jankto | Sampdoria | 2021 | 80.1,Dennis Praet | Torino | 2122 | 80.0
James Garner,2324,Everton,ENG-Premier League,MF,22.0,3004,Defensive Anchor,Ball Progressor,33.0,28.4,4.6,95.4,0,1,Rolando Mandragora | Udinese | 1819 | 88.0,Vitaly Janelt | Brentford | 2324 | 83.9,Morten Frendrup | Genoa | 2425 | 81.9,Josh Brownhill | Burnley | 2122 | 81.6,Douglas Luiz | Aston Villa | 2122 | 80.6
