player,season,team,league,role_subgroup,archetype_id,primary_role,primary_role_label,primary_role_description,primary_role_similarity,role_confidence,role_ambiguity,role_profile_type,secondary_archetype_id,secondary_role,secondary_role_label,secondary_role_similarity,role_fit_bucket,primary_label_status,primary_archetype_match,minutes,pos_,age_,archetype_method,archetype_probability,archetype_similarity,progressive_passes_p90,pass_completion_pct,long_pass_completion_pct,passes_final_third_p90,blocks_p90,clearances_p90,interceptions_p90,tackles_p90,tackles_won_p90,aerials_won_p90,aerials_won_pct,duel_index_role,defending_index_role,errors_p90,recoveries_p90,progressive_carries_p90,progressive_receipts_p90,key_passes_p90,sca_p90,gca_p90,gca_live_p90,passes_penalty_area_p90,touches_att_third_p90,touches_box_p90,takeons_attempted_p90,takeons_success_pct,creation_index_role,progression_index_role,xg_p90,shots_p90,sot_p90,g_per_shot,g_per_sot,shot_distance,carries_box_p90,finishing_index_role,primary_archetype_id_calc,secondary_role_description
Saidy Janko,2223,Bochum,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",44.7,21.6,78.4,Balanced,2,Aerial Defender,🦅 Aerial Defender,23.1,Ambiguous Fit,inferred_v1,True,1134,DF,26.0,PCA+KMeans,36.3,69.9,2.301587301587302,69.2,52.3,2.0634920634920637,1.9047619047619049,2.619047619047619,0.873015873015873,1.8253968253968254,1.1904761904761905,0.7936507936507937,31.3,30.9978835978836,2.555555555555556,0.07936507936507936,5.555555555555555,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Julian Ryerson,2223,Dortmund,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",47.3,2.1,97.9,Hybrid,2,Aerial Defender,🦅 Aerial Defender,45.2,Ambiguous Fit,inferred_v1,False,1410,DF,24.0,PCA+KMeans,10.6,73.3,3.5031847133757963,81.9,55.2,3.121019108280255,0.8280254777070064,1.78343949044586,0.5095541401273885,1.7197452229299364,0.9554140127388535,0.8280254777070064,59.1,32.04267515923567,2.191082802547771,0.0,6.114649681528663,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Marius Wolf,2223,Dortmund,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",44.8,4.1,95.9,Hybrid,2,Aerial Defender,🦅 Aerial Defender,40.7,Ambiguous Fit,inferred_v1,False,1570,DF,27.0,PCA+KMeans,8.9,60.7,5.2298850574712645,78.6,58.1,3.4482758620689657,2.298850574712644,1.264367816091954,1.0344827586206897,1.4367816091954024,1.0344827586206897,0.3448275862068966,50.0,35.04827586206897,2.264367816091954,0.0574712643678161,5.287356321839081,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Mats Hummels,2223,Dortmund,GER-Bundesliga,DEF_CB,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,"Centre-back with above-average progression and distribution contribution, involved in build-up.",39.1,7.2,92.8,Hybrid,2,Aerial Defender,🦅 Aerial Defender,31.8,Ambiguous Fit,inferred_v1,True,2018,DF,33.0,PCA+KMeans,2.2,48.0,5.089285714285714,87.5,73.1,4.464285714285714,1.3392857142857144,4.464285714285714,1.4732142857142858,2.7678571428571432,1.517857142857143,3.169642857142857,64.0,42.389880952380956,3.2321428571428568,0.044642857142857144,6.116071428571429,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Nico Schlotterbeck,2223,Dortmund,GER-Bundesliga,DEF_CB,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,"Centre-back with above-average progression and distribution contribution, involved in build-up.",71.0,6.0,94.0,Hybrid,2,Aerial Defender,🦅 Aerial Defender,65.0,Good Fit,inferred_v1,True,2252,DF,22.0,PCA+KMeans,25.1,50.1,6.36,86.3,64.2,5.48,1.52,2.84,1.28,2.36,1.36,2.4,64.5,41.6,3.152,0.04,7.76,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Niklas Süle,2223,Dortmund,GER-Bundesliga,DEF_CB,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,"Centre-back with above-average progression and distribution contribution, involved in build-up.",29.2,1.9,98.1,Hybrid,2,Aerial Defender,🦅 Aerial Defender,27.3,Ambiguous Fit,inferred_v1,True,2118,DF,26.0,PCA+KMeans,46.0,63.4,5.829787234042553,90.6,81.2,4.9361702127659575,1.1914893617021276,2.25531914893617,0.723404255319149,1.0638297872340425,0.8085106382978723,1.3617021276595744,65.3,52.220567375886525,2.323404255319149,0.0,6.382978723404255,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Ansgar Knauff,2223,Eint Frankfurt,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",34.2,17.4,82.6,Balanced,2,Aerial Defender,🦅 Aerial Defender,16.8,Ambiguous Fit,inferred_v1,True,1286,DF,20.0,PCA+KMeans,48.3,70.0,2.797202797202797,66.6,43.9,1.8881118881118881,1.3286713286713285,1.8181818181818181,1.048951048951049,2.5174825174825175,1.7482517482517481,0.6293706293706294,36.0,23.84312354312354,2.699300699300699,0.0,6.7832167832167825,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Aurélio Buta,2223,Eint Frankfurt,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",29.8,13.2,86.8,Balanced,2,Aerial Defender,🦅 Aerial Defender,16.6,Ambiguous Fit,inferred_v1,True,1318,DF,25.0,PCA+KMeans,56.3,80.1,3.219178082191781,75.4,46.8,2.397260273972603,1.2328767123287672,2.328767123287671,0.6164383561643836,2.26027397260274,1.3013698630136987,1.4383561643835616,37.5,24.07945205479452,2.1917808219178085,0.0,4.52054794520548,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Christopher Lenz,2223,Eint Frankfurt,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",39.5,15.0,85.0,Balanced,2,Aerial Defender,🦅 Aerial Defender,24.5,Ambiguous Fit,inferred_v1,True,1290,DF,27.0,PCA+KMeans,49.6,80.9,4.405594405594405,75.4,47.0,3.2167832167832167,1.1188811188811187,2.3776223776223775,1.4685314685314685,2.027972027972028,1.4685314685314685,0.979020979020979,38.9,39.49300699300699,2.7132867132867133,0.0,6.573426573426573,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Makoto Hasebe,2223,Eint Frankfurt,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",22.4,1.9,98.1,Hybrid,1,Aggressive Defender,⚔️ Aggressive Defender,20.6,Ambiguous Fit,inferred_v1,False,1306,DF,38.0,PCA+KMeans,0.8,62.1,3.9310344827586206,87.6,63.8,3.5172413793103448,1.5172413793103448,3.103448275862069,1.1724137931034482,1.2413793103448276,0.8275862068965517,1.0344827586206897,38.5,19.767241379310345,2.758620689655172,0.0,6.758620689655173,,,,,,,,,,,,,,,,,,,,,,0,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events."
Obite N'Dicka,2223,Eint Frankfurt,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,58.1,10.7,89.3,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,47.4,Ambiguous Fit,inferred_v1,True,2692,DF,22.0,PCA+KMeans,36.9,68.6,3.1438127090301005,86.1,54.3,2.4749163879598663,1.5719063545150502,5.016722408026756,1.0367892976588629,0.8361204013377926,0.6020066889632107,2.5752508361204014,61.6,41.3917502787068,2.983277591973244,0.0,6.45484949832776,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Tuta,2223,Eint Frankfurt,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,36.9,3.9,96.1,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,33.0,Ambiguous Fit,inferred_v1,False,2718,DF,23.0,PCA+KMeans,4.7,50.4,3.543046357615894,80.1,51.3,3.1125827814569536,1.5562913907284768,4.437086092715232,1.6225165562913908,1.7549668874172186,1.1589403973509933,1.6887417218543046,45.5,34.06291390728477,3.4635761589403975,0.06622516556291391,7.9470198675496695,,,,,,,,,,,,,,,,,,,,,,1,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Lukas Kübler,2223,Freiburg,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",45.3,7.4,92.6,Hybrid,2,Aerial Defender,🦅 Aerial Defender,37.8,Ambiguous Fit,inferred_v1,True,1639,DF,29.0,PCA+KMeans,41.4,80.4,3.131868131868132,68.8,45.9,3.241758241758242,1.3736263736263736,2.7472527472527473,1.5934065934065935,2.032967032967033,1.3736263736263736,1.3736263736263736,59.5,41.124542124542124,2.659340659340659,0.0,5.549450549450549,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Matthias Ginter,2223,Freiburg,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,76.2,6.1,93.9,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,70.1,Good Fit,inferred_v1,True,3060,DF,28.0,PCA+KMeans,26.1,72.4,3.588235294117647,82.3,61.7,3.588235294117647,1.1764705882352942,4.5,1.0294117647058822,1.2647058823529411,0.5882352941176471,3.5,63.3,38.93333333333333,2.6764705882352944,0.08823529411764706,5.411764705882353,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Philipp Lienhart,2223,Freiburg,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,69.5,9.7,90.3,Hybrid,2,Aerial Defender,🦅 Aerial Defender,59.8,Hybrid Fit,inferred_v1,False,2498,DF,26.0,PCA+KMeans,15.7,71.0,2.841726618705036,84.9,63.6,2.661870503597122,1.0431654676258992,3.4892086330935252,1.2589928057553956,1.0431654676258992,0.6474820143884892,2.302158273381295,61.5,37.934052757793765,2.4820143884892087,0.0,5.575539568345324,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Joe Scally,2223,Gladbach,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",60.8,14.4,85.6,Balanced,2,Aerial Defender,🦅 Aerial Defender,46.3,Hybrid Fit,inferred_v1,True,2208,DF,19.0,PCA+KMeans,21.5,63.1,2.326530612244898,78.5,49.6,1.6326530612244898,0.6938775510204082,2.489795918367347,0.32653061224489793,1.2653061224489797,0.8163265306122449,0.7346938775510204,54.5,31.51156462585034,1.7224489795918365,0.0,3.836734693877551,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Ko Itakura,2223,Gladbach,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,65.1,4.4,95.6,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,60.7,Hybrid Fit,inferred_v1,True,1981,DF,25.0,PCA+KMeans,31.8,68.8,2.6818181818181817,90.8,59.1,3.090909090909091,1.8636363636363635,4.318181818181818,1.2272727272727273,1.3181818181818181,0.7727272727272727,1.9090909090909092,59.2,44.6030303030303,2.7272727272727275,0.0,4.909090909090909,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Marvin Friedrich,2223,Gladbach,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,56.2,13.3,86.7,Balanced,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,42.9,Ambiguous Fit,inferred_v1,True,1248,DF,26.0,PCA+KMeans,32.3,67.6,2.5179856115107913,86.0,51.2,1.5107913669064748,1.0071942446043165,3.741007194244604,0.7913669064748201,1.223021582733813,0.7913669064748201,2.949640287769784,57.7,53.549880095923264,2.3165467625899283,0.0,4.820143884892087,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Nico Elvedi,2223,Gladbach,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,55.5,14.8,85.2,Balanced,2,Aerial Defender,🦅 Aerial Defender,40.7,Ambiguous Fit,inferred_v1,False,2826,DF,25.0,PCA+KMeans,22.3,63.6,2.643312101910828,91.5,75.1,1.5923566878980893,0.9872611464968153,4.745222929936306,1.1146496815286624,1.4649681528662422,0.7643312101910829,2.261146496815287,59.7,31.75371549893843,2.6114649681528666,0.09554140127388536,4.745222929936306,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Ramy Bensebaini,2223,Gladbach,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,53.4,0.5,99.5,Hybrid,2,Aerial Defender,🦅 Aerial Defender,52.9,Ambiguous Fit,inferred_v1,False,2481,DF,27.0,PCA+KMeans,22.3,67.7,3.6594202898550723,78.2,47.3,2.934782608695652,1.5942028985507246,3.550724637681159,1.3043478260869565,1.2318840579710144,0.7608695652173912,2.463768115942029,62.4,34.12125603864734,2.7971014492753623,0.036231884057971016,6.304347826086956,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Agustín Rogel,2223,Hertha BSC,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,54.9,7.2,92.8,Hybrid,2,Aerial Defender,🦅 Aerial Defender,47.6,Ambiguous Fit,inferred_v1,False,1426,DF,24.0,PCA+KMeans,19.5,53.9,1.4556962025316456,74.5,51.0,0.6962025316455696,0.9493670886075949,4.6835443037974684,0.6962025316455696,1.1392405063291138,0.5696202531645569,3.10126582278481,58.3,30.700632911392404,2.278481012658228,0.06329113924050632,3.9240506329113924,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Filip Uremović,2223,Hertha BSC,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,37.3,1.5,98.5,Hybrid,1,Aggressive Defender,⚔️ Aggressive Defender,35.8,Ambiguous Fit,inferred_v1,True,1726,DF,25.0,PCA+KMeans,29.9,58.0,0.8854166666666667,78.1,36.5,0.8333333333333334,0.9375,4.583333333333334,1.875,1.9791666666666667,1.1979166666666667,2.8645833333333335,59.1,53.988194444444446,2.7395833333333335,0.10416666666666667,4.322916666666667,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events."
Jonjoe Kenny,2223,Hertha BSC,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",59.7,16.3,83.7,Balanced,2,Aerial Defender,🦅 Aerial Defender,43.4,Ambiguous Fit,inferred_v1,True,2244,DF,25.0,PCA+KMeans,39.0,79.0,3.9357429718875503,72.8,51.0,3.57429718875502,1.5261044176706828,2.9718875502008033,1.8473895582329318,1.8473895582329318,1.3654618473895583,1.0040160642570282,54.3,35.83467202141901,2.811244979919679,0.0,5.863453815261044,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Marc-Oliver Kempf,2223,Hertha BSC,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,40.1,2.1,97.9,Hybrid,1,Aggressive Defender,⚔️ Aggressive Defender,37.9,Ambiguous Fit,inferred_v1,True,2709,DF,27.0,PCA+KMeans,46.8,68.2,2.691029900332226,77.6,50.3,1.893687707641196,1.3953488372093024,4.750830564784053,1.6943521594684385,1.4617940199335548,0.8970099667774086,4.285714285714286,60.8,43.26190476190476,3.1229235880398667,0.0,6.312292358803987,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events."
Marvin Plattenhardt,2223,Hertha BSC,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",36.9,17.4,82.6,Balanced,2,Aerial Defender,🦅 Aerial Defender,19.5,Ambiguous Fit,inferred_v1,True,2402,DF,30.0,PCA+KMeans,44.2,70.5,3.146067415730337,65.7,34.1,1.4232209737827717,0.9363295880149813,3.0711610486891385,0.5617977528089888,1.6104868913857677,1.2359550561797754,0.7116104868913858,52.8,23.403870162297128,2.1123595505617976,0.0,4.382022471910113,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Angeliño,2223,Hoffenheim,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",39.3,20.7,79.3,Balanced,2,Aerial Defender,🦅 Aerial Defender,18.6,Ambiguous Fit,inferred_v1,True,2617,DF,25.0,PCA+KMeans,44.5,72.7,3.7113402061855667,65.5,42.2,2.81786941580756,1.099656357388316,2.3024054982817868,0.8591065292096219,1.3745704467353952,0.8247422680412371,0.5154639175257731,35.7,27.53848797250859,2.1443298969072164,0.0,5.085910652920962,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
John Brooks,2223,Hoffenheim,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,61.2,13.5,86.5,Balanced,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,47.8,Hybrid Fit,inferred_v1,True,1350,DF,29.0,PCA+KMeans,31.0,47.9,2.6666666666666665,80.7,55.3,1.6666666666666667,1.1333333333333333,7.0,0.6666666666666666,1.2,0.8,4.266666666666667,68.1,37.455555555555556,3.413333333333333,0.0,7.066666666666666,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Kevin Akpoguma,2223,Hoffenheim,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",49.3,5.2,94.8,Hybrid,2,Aerial Defender,🦅 Aerial Defender,44.2,Ambiguous Fit,inferred_v1,True,1950,DF,27.0,PCA+KMeans,14.1,54.2,3.9170506912442398,79.5,51.2,3.824884792626728,2.0737327188940093,3.2258064516129035,1.1059907834101383,3.456221198156682,2.0276497695852536,2.6267281105990783,55.9,30.108909370199694,3.1797235023041472,0.04608294930875576,6.0368663594470044,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Kevin Vogt,2223,Hoffenheim,GER-Bundesliga,DEF_CB,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,"Centre-back with above-average progression and distribution contribution, involved in build-up.",42.9,4.7,95.3,Hybrid,2,Aerial Defender,🦅 Aerial Defender,38.3,Ambiguous Fit,inferred_v1,True,1775,DF,30.0,PCA+KMeans,35.6,59.8,5.279187817258883,86.0,70.7,4.467005076142132,0.9137055837563453,3.401015228426396,1.3197969543147208,0.7614213197969544,0.5076142131979695,0.5583756345177665,44.0,48.186125211505924,2.639593908629442,0.0,6.802030456852792,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Ozan Kabak,2223,Hoffenheim,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,69.6,11.3,88.7,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,58.3,Hybrid Fit,inferred_v1,True,2388,DF,22.0,PCA+KMeans,29.5,73.3,2.8679245283018866,82.7,56.1,2.339622641509434,1.320754716981132,3.1320754716981134,1.6981132075471699,1.9245283018867925,1.2830188679245282,3.018867924528302,60.6,37.87295597484277,2.70188679245283,0.0,5.433962264150943,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Pavel Kadeřábek,2223,Hoffenheim,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",51.4,27.0,73.0,Specialist,2,Aerial Defender,🦅 Aerial Defender,24.3,Ambiguous Fit,inferred_v1,True,1665,DF,30.0,PCA+KMeans,32.0,65.5,3.2972972972972974,69.6,35.1,2.4864864864864864,0.6486486486486487,2.0,0.7567567567567568,1.4054054054054055,1.0810810810810811,2.4864864864864864,48.9,24.82882882882883,1.7405405405405403,0.05405405405405406,3.891891891891892,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Robert Skov,2223,Hoffenheim,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",65.6,34.7,65.3,Specialist,2,Aerial Defender,🦅 Aerial Defender,30.9,Hybrid Fit,inferred_v1,True,1349,DF,26.0,PCA+KMeans,28.7,64.5,3.2666666666666666,69.9,47.0,2.3333333333333335,1.4666666666666666,1.3333333333333333,0.5333333333333333,1.4666666666666666,0.7333333333333333,1.0,46.9,24.599999999999998,1.9466666666666668,0.13333333333333333,4.933333333333334,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Stanley N'Soki,2223,Hoffenheim,GER-Bundesliga,DEF_CB,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,"Centre-back with above-average progression and distribution contribution, involved in build-up.",51.6,3.1,96.9,Hybrid,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,48.5,Ambiguous Fit,inferred_v1,False,1286,DF,23.0,PCA+KMeans,11.2,51.2,4.475524475524475,81.9,54.3,4.335664335664336,1.5384615384615383,2.3776223776223775,1.6783216783216783,1.5384615384615383,0.9090909090909091,1.5384615384615383,64.7,41.11282051282051,3.0629370629370625,0.0,8.181818181818182,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Benno Schmitz,2223,Köln,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",38.1,18.8,81.2,Balanced,2,Aerial Defender,🦅 Aerial Defender,19.3,Ambiguous Fit,inferred_v1,True,2420,DF,27.0,PCA+KMeans,42.4,69.5,5.539033457249071,62.6,33.5,4.014869888475837,1.2639405204460967,2.1189591078066914,0.966542750929368,2.379182156133829,1.5613382899628254,1.1152416356877324,50.0,26.138413878562577,2.475836431226766,0.0,5.650557620817844,,,,,,,,,,,,,,,,,,,,,,1,Centre-back with strong aerial-duel profile and defensive box presence.
Jonas Hector,2223,Köln,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",49.6,6.0,94.0,Hybrid,1,Aggressive Defender,⚔️ Aggressive Defender,43.6,Ambiguous Fit,inferred_v1,False,2824,DF,32.0,PCA+KMeans,17.1,53.2,4.10828025477707,75.3,47.2,2.7388535031847137,1.9426751592356688,2.356687898089172,1.2420382165605095,3.56687898089172,2.1019108280254777,1.78343949044586,62.9,40.19447983014862,3.229299363057325,0.03184713375796178,7.038216560509555,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events."
Julian Chabot,2223,Köln,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,48.5,10.6,89.4,Hybrid,1,Aggressive Defender,⚔️ Aggressive Defender,37.9,Ambiguous Fit,inferred_v1,True,1803,DF,24.0,PCA+KMeans,41.2,59.4,2.6,82.3,52.0,2.25,1.5,5.25,2.05,1.8,1.15,4.5,66.2,40.233333333333334,3.3600000000000003,0.0,6.2,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events."
Luca Kilian,2223,Köln,GER-Bundesliga,DEF_CB,1,Aggressive Defender,⚔️ Aggressive Defender,"Centre-back with proactive defensive behaviour through tackles, interceptions and pressure events.",42.2,3.6,96.4,Hybrid,2,Aerial Defender,🦅 Aerial Defender,38.6,Ambiguous Fit,inferred_v1,False,1123,DF,22.0,PCA+KMeans,4.9,77.6,4.24,85.4,55.4,3.04,1.28,3.84,0.88,1.76,1.28,1.84,54.8,35.54666666666667,2.5439999999999996,0.0,4.96,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
Timo Hübers,2223,Köln,GER-Bundesliga,DEF_CB,2,Aerial Defender,🦅 Aerial Defender,Centre-back with strong aerial-duel profile and defensive box presence.,62.2,15.8,84.2,Balanced,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,46.4,Hybrid Fit,inferred_v1,True,2559,DF,26.0,PCA+KMeans,29.2,49.2,2.9577464788732395,82.3,54.4,2.1126760563380285,0.9507042253521127,5.387323943661972,2.0422535211267605,1.5140845070422535,0.9859154929577465,3.3098591549295775,59.1,54.13661971830985,3.612676056338029,0.0,8.169014084507042,,,,,,,,,,,,,,,,,,,,,,2,"Centre-back with above-average progression and distribution contribution, involved in build-up."
Edmond Tapsoba,2223,Leverkusen,GER-Bundesliga,DEF_CB,0,Ball-Playing Centre-Back,🎯 Ball-Playing Centre-Back,"Centre-back with above-average progression and distribution contribution, involved in build-up.",75.6,7.9,92.1,Hybrid,2,Aerial Defender,🦅 Aerial Defender,67.7,Good Fit,inferred_v1,True,2871,DF,23.0,PCA+KMeans,26.2,56.7,5.297805642633229,85.5,61.8,4.827586206896552,1.2539184952978057,3.4169278996865207,1.1285266457680252,1.5987460815047023,0.9404388714733543,1.7241379310344829,56.1,40.60804597701149,3.1724137931034484,0.031347962382445145,8.463949843260188,,,,,,,,,,,,,,,,,,,,,,0,Centre-back with strong aerial-duel profile and defensive box presence.
